% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1,111943858e+08 +1,111943858e+08 +1,111937647e+08 +1,111937647e+08 +2,3088e+00 -1,6728e+00 +4,6776e+00 -1,5248e+00 -2,0594e+00 +2,7054e+00 +1,5989e+00 -3,6024e+00 +1,9495e+00 -3,5798e+00
11 +3,985258128e+07 +3,985258128e+07 +3,985196017e+07 +3,985196017e+07 -1,5099e+00 +9,4631e-01 +3,0989e+00 -4,4691e+00 +1,0619e+00 -1,3025e+00 +4,4599e+00 -5,5401e-01 +2,0761e+00 -1,8408e+00
52 +2,433042940e+07 +2,433042940e+07 +2,432980829e+07 +2,432980829e+07 -1,6526e-02 +2,8164e+00 +2,5264e+00 -4,5911e+00 -1,0204e+00 -1,9448e+00 +2,9500e+00 -2,3256e+00 +3,7969e+00 -1,6158e+00
455 +1,086292622e+07 +1,086292622e+07 +1,086230511e+07 +1,086230511e+07 -3,9718e-01 +3,8854e+00 +2,5389e+00 -4,0719e+00 -1,7336e+00 -7,9681e-01 +2,2248e+00 -1,0261e+00 +2,1052e+00 -1,7401e+00
612 +4,377511419e+06 +4,377511419e+06 +4,376890309e+06 +4,376890309e+06 +3,1273e-01 +3,3849e+00 +1,2321e+00 -4,5772e+00 -2,0132e+00 -3,0014e+00 +1,2624e+00 -8,1842e-01 +1,1348e+00 -1,5916e+00
949 +3,894517807e+06 +3,894517807e+06 +3,893896697e+06 +3,893896697e+06 -4,5344e-01 +3,6193e+00 -8,8084e-01 -3,8673e+00 +8,5523e-01 -7,1616e-01 +1,3062e-01 -1,7241e+00 +1,5562e+00 -8,7391e-01
951 +1,568246451e+06 +1,568246451e+06 +1,567625341e+06 +1,567625341e+06 -3,9915e-01 +4,1586e+00 +1,2321e+00 -4,0605e+00 -1,8927e+00 -3,0014e+00 +1,2624e+00 -6,1736e-01 +1,1348e+00 -9,8381e-01
1601 +9,302892968e+05 +9,302892968e+05 +9,296681868e+05 +9,296681868e+05 -6,0261e-01 +3,9251e+00 +1,5109e-01 -4,0687e+00 -1,4333e+00 -2,7570e+00 +9,8698e-01 -1,0345e+00 +1,0199e+00 +1,7900e-02
1713 +4,228938910e+05 +4,228938910e+05 +4,222727810e+05 +4,222727810e+05 -6,0261e-01 +3,9251e+00 +1,5109e-01 -4,1774e+00 -1,4333e+00 -2,5225e+00 +1,7717e+00 -9,3506e-01 +9,1894e-01 +1,7900e-02
2133 +3,437334954e+05 +3,437334954e+05 +3,431123854e+05 +3,431123854e+05 -6,0261e-01 +4,1822e+00 +4,5748e-01 -4,0687e+00 -1,4333e+00 -2,5225e+00 +1,3471e+00 -9,3506e-01 +1,1061e+00 -3,1172e-01
2385 +2,442349228e+05 +2,442349228e+05 +2,436138128e+05 +2,436138128e+05 -6,0261e-01 +4,1822e+00 +8,4031e-01 -4,0605e+00 -1,4333e+00 -2,5225e+00 +1,3471e+00 -9,3506e-01 +9,1894e-01 -3,1172e-01
2801 +1,464005394e+05 +1,464005394e+05 +1,457794294e+05 +1,457794294e+05 -6,0261e-01 +4,1822e+00 +8,4031e-01 -4,0687e+00 -1,4333e+00 -2,5225e+00 +1,7717e+00 -8,6209e-01 +8,1852e-01 -3,1172e-01
3199 +8,693090552e+04 +8,693090552e+04 +8,630979552e+04 +8,630979552e+04 -6,0261e-01 +3,9251e+00 +8,4031e-01 -4,0605e+00 -1,4333e+00 -2,5225e+00 +1,4761e+00 -8,6209e-01 +8,1852e-01 -3,1172e-01
3679 +4,309131159e+04 +4,309131159e+04 +4,247020159e+04 +4,247020159e+04 -6,0261e-01 +3,9989e+00 +8,4031e-01 -4,0867e+00 -1,4333e+00 -2,5225e+00 +1,5542e+00 -6,5380e-01 +7,2671e-01 -3,1172e-01
5163 +3,492441626e+04 +3,492441626e+04 +3,430330626e+04 +3,430330626e+04 -6,0261e-01 +3,9989e+00 +8,4031e-01 -4,1081e+00 -1,4333e+00 -2,5225e+00 +1,5542e+00 -7,2934e-01 +7,2671e-01 -3,1172e-01
5481 +2,489410176e+04 +2,489410176e+04 +2,427299176e+04 +2,427299176e+04 -6,0261e-01 +3,9989e+00 +8,4031e-01 -4,1081e+00 -1,4333e+00 -2,5225e+00 +1,5542e+00 -7,1758e-01 +7,2671e-01 -1,4626e-01
